rule_id,rule_text,input_category,recommended_category,scenario_label,style_tags,colour_tags,occasion_tags,season_tags,gender_context,body_fit_context,formality_level,evidence_keywords,source_type,source_title,source_author_or_org,source_year,source_url_or_reference,source_reliability,source_reliability_reason,evidence_basis,rule_scope,rule_limitations,manual_verification_status,notes
R044,French-cuff shirts require cufflinks so the shirt style dictates the accessory rather than the other way round.,tops,accessories,formal_evening_styling,"classic, refined, formal","silver, gold, tonal","work, formal, evening","all season",menswear,tailored,formal,"french cuff, cufflink, formal shirt",book,"Dressing the Man: Mastering the Art of Permanent Fashion",Alan Flusser,2002,"HarperCollins, New York, 2002",high,"Menswear reference book on classical shirt-cuff conventions.","Flusser links the french cuff exclusively to cufflink closure.","Applies to formal menswear with french-cuff shirts.","Not applicable to barrel-cuff shirts or casual shirts.",verified,"Straightforward menswear coordination rule."
R045,A tie bar should sit between the third and fourth shirt buttons and its length should be shorter than the tie's width so it does not overhang.,tops,accessories,proportion_balance,"classic, refined, tailored","silver, gold, tonal","work, formal, smart casual","all season",menswear,tailored,business casual,"tie bar, tie clip, placement, proportion",fashion_magazine,GQ,Conde Nast,2020,"gq.com (specific article to be verified)",medium,"Established menswear editorial publication.","GQ menswear guides consistently advise tie-bar placement between the third and fourth buttons with a length shorter than the tie width.","Applies to tailored menswear with a tie bar.","Fashion-forward looks may deliberately break the rule.",needs_manual_check,"Verify specific GQ article URL."
R046,Trousers designed for braces do not need a belt so wearing both simultaneously creates a coordination conflict and is discouraged in classic dressing.,bottoms,accessories,style_consistency,"classic, refined, tailored","neutral, tonal","work, formal","all season",menswear,tailored,formal,"braces, suspenders, belt, trousers",book,"Dressing the Man: Mastering the Art of Permanent Fashion",Alan Flusser,2002,"HarperCollins, New York, 2002",high,"Widely cited menswear reference.","Flusser articulates the mutual exclusivity of braces and belts in classic tailored dressing.","Applies to classic tailored menswear.","Not applicable to fashion-forward looks deliberately combining both.",verified,"Style-consistency filter for braces trousers."
R047,A handbag should be treated as one of the accessory neutrals within an outfit so counting bag shoe and belt colours is a useful check for over-complexity.,tops;bottoms;dresses,accessories,colour_coordination,"minimal, classic","neutral, tonal","work, casual, smart casual","all season",womenswear,not specified,general,"handbag, neutral, colour count, coordination",fashion_magazine,Harper's Bazaar,Hearst Communications,2021,"harpersbazaar.com (specific article to be verified)",medium,"Established womenswear editorial publication.","Bazaar styling features treat the bag as one of a limited number of coordinated neutrals in an outfit.","Applies to womenswear outfit coordination.","May be overridden by intentional maximalist styling.",needs_manual_check,"Verify specific article URL."
R048,Tights weight should track season with sheer tights for warmer months and opaque or wool tights for cold months.,dresses;bottoms,accessories,seasonal_layering,"classic, refined","black, neutral, tonal","work, formal, daytime","autumn, winter, spring",womenswear,not specified,business casual,"tights, sheer, opaque, wool, season",fashion_magazine,Vogue,Conde Nast,2021,"vogue.com (specific article to be verified)",medium,"Major fashion publication.","Vogue seasonal features distinguish tights weight by season.","Applies to skirt-and-dress womenswear across the calendar.","Personal preference and workplace codes may override.",needs_manual_check,"Verify specific article URL."
R049,Statement earrings work best with hair pulled away from the face so the earrings remain fully visible as the focal accessory.,tops;dresses,accessories,accessory_coordination,"elegant, refined","gold, silver, tonal","evening, party, work","all season",womenswear,not specified,smart casual,"statement earring, hair up, focal accessory",fashion_magazine,Harper's Bazaar,Hearst Communications,2021,"harpersbazaar.com (specific article to be verified)",medium,"Established fashion publication.","Bazaar features consistently pair statement earrings with hair styled away from the face.","Applies to womenswear focal earring styling.","May be overridden with deliberately layered hair styling.",needs_manual_check,"Verify specific article URL."
R050,A belt at the natural waist can define the silhouette on relaxed-fit dresses shirts and coats which would otherwise read as shapeless.,dresses;tops;outerwear,accessories,silhouette_balance,"classic, refined, structured","neutral, tonal","work, casual, smart casual","all season",womenswear,fitted,smart casual,"waist belt, silhouette, define, relaxed fit",book,Tim Gunn's Fashion Bible,Tim Gunn,2012,"Gallery Books, New York, 2012",medium,"Editorial book by an industry educator on fit and silhouette.","Gunn recommends waist belts to define silhouette on relaxed garments.","Applies to womenswear silhouette shaping.","Not appropriate where the intended silhouette is deliberately unstructured.",verified,"Silhouette-shaping reranker rule."
R051,A white cotton button-down shirt functions as a versatile wardrobe base that layers under tailoring or wears alone across dress codes from smart casual to formal.,bottoms,tops,style_consistency,"classic, minimal, refined","white, neutral","work, formal, smart casual, casual","all season",unisex,tailored,business casual,"white shirt, button down, wardrobe staple, versatile",book,The Little Black Book of Style,Nina Garcia,2007,"HarperCollins, New York, 2007",medium,"Editorial book by a former Elle fashion director.","Garcia identifies the white shirt as a versatile wardrobe base.","Applies across dress codes from smart casual to formal.","Colour and fabric variants required for specific occasions such as black tie.",verified,"Baseline top recommendation."
R052,A crew-neck top provides a shorter vertical line at the neck while a V-neck provides a longer vertical line so the choice can be used to balance face and neck proportions.,bottoms,tops,proportion_balance,"minimal, classic","neutral, tonal","casual, smart casual, work","all season",unisex,proportions,general,"crew neck, v-neck, face, neck, proportion",book,Tim Gunn's Fashion Bible,Tim Gunn,2012,"Gallery Books, New York, 2012",medium,"Editorial book by an industry educator on fit.","Gunn discusses neckline choice as a proportion consideration.","Applies to top selection in general dressing.","Personal preference and shirt collar layering may override.",verified,"Useful proportion cue for top reranking."
R053,A blazer worn over a plain t-shirt is a canonical smart-casual formula and works with denim or chinos.,bottoms;outerwear,tops,smart_casual_styling,"smart casual, refined","neutral, tonal, dark","smart casual, work casual, evening","all season",unisex,tailored,smart casual,"blazer, t-shirt, smart casual, chinos, denim",fashion_editorial,Style Journal,Mr Porter,2022,"mrporter.com/en-gb/journal (specific article to be verified)",medium,"Established retailer editorial.","Mr Porter journal features repeatedly build smart-casual outfits on the blazer-over-tee formula.","Applies to smart-casual outfit construction.","May not read as sufficiently formal for strict business dress codes.",needs_manual_check,"Verify specific journal URL."
R054,A fine-gauge turtleneck under a tailored blazer provides a warmer alternative to a shirt-and-tie combination and reads as elevated smart-casual.,outerwear;bottoms,tops,seasonal_layering,"refined, tailored, smart casual","neutral, black, tonal","work, smart casual","autumn, winter",unisex,tailored,smart casual,"turtleneck, blazer, layering, autumn, winter",book,True Style: The History and Principles of Classic Menswear,G. Bruce Boyer,2015,"Basic Books, New York, 2015",high,"Menswear reference book.","Boyer traces the fine-gauge turtleneck-under-jacket look as a modern smart-casual staple.","Applies to cooler-season smart-casual dressing.","Not appropriate for warm-weather contexts.",verified,"Cool-weather layering pattern."
R055,A silk or silk-blend blouse reads as more polished than a cotton shirt and is a stronger choice for formal workwear or smart evening occasions.,bottoms,tops,workwear_styling,"polished, refined, elegant","neutral, tonal","work, formal, evening","all season",womenswear,tailored,business casual,"silk blouse, workwear, polished, formal",book,The Little Black Book of Style,Nina Garcia,2007,"HarperCollins, New York, 2007",medium,"Editorial book by a former Elle fashion director.","Garcia positions silk blouses as a polished workwear and evening choice.","Applies to womenswear workwear and evening dressing.","Silk requires more careful care than cotton.",verified,"Fabric-formality mapping for workwear."
R056,A cashmere sweater layered under a coat provides a warm and low-bulk mid-layer suitable for cold-weather smart casual and workwear.,outerwear;bottoms,tops,seasonal_layering,"refined, classic, smart casual","neutral, tonal","work, smart casual, casual",winter,unisex,relaxed fit,smart casual,"cashmere sweater, mid layer, coat, warm, winter",book,Gentleman: A Timeless Guide to Fashion,Bernhard Roetzel,2020,"H.F.Ullmann Publishing, updated editions since 1999",high,"Reference book on classic menswear.","Roetzel identifies cashmere knitwear as a low-bulk warm layer for cool-weather tailoring.","Applies to cool-weather smart-casual and workwear.","Care requirements and cost may be limiting factors.",verified,"Winter mid-layer recommendation."
R057,An oversized top pairs cleanly with a fitted bottom because the contrast in volume prevents the outfit from reading as either shapeless or too clingy.,bottoms,tops,silhouette_balance,"relaxed, contrast, streetwear","neutral, tonal","casual, smart casual","all season",unisex,oversized,smart casual,"oversized top, fitted bottom, volume contrast, proportion",fashion_magazine,Vogue,Conde Nast,2022,"vogue.com (specific article to be verified)",medium,"Major fashion publication.","Vogue silhouette features consistently pair volume on top with slimmer bottoms.","Applies to relaxed and contemporary silhouettes.","Not appropriate for strictly tailored formal dress codes.",needs_manual_check,"Verify specific article URL."
R058,A neutral top allows a printed or statement bottom to remain the focal piece so the outfit reads as considered rather than competing.,bottoms,tops,colour_coordination,"minimal, classic, refined","neutral, tonal","casual, smart casual, work","all season",unisex,not specified,smart casual,"neutral top, printed bottom, focal, coordination",book,The Little Black Book of Style,Nina Garcia,2007,"HarperCollins, New York, 2007",medium,"Editorial book by a former Elle fashion director.","Garcia recommends neutral tops as a balance for statement bottoms.","Applies to outfit-building with a single focal piece.","Not applicable to intentional pattern-mixing outfits.",verified,"Colour-coordination baseline rule."
R059,Colour worn close to the face has the largest effect on skin tone so the top garment is the highest-impact place to consider personal colour choices.,bottoms,tops,colour_coordination,"classic, refined","tonal, contrast","work, evening, casual","all season",general,not specified,general,"colour near face, skin tone, top, palette",book,Color Me Beautiful,Carole Jackson,1980,"Ballantine Books, New York, 1980",medium,"Popular colour-analysis book; foundational but dated.","Jackson argues that garments close to the face carry the greatest visual weight in colour analysis.","Applies as a starting point for personal colour selection.","Colour analysis is not empirically settled; treat as heuristic not fact.",verified,"Useful heuristic for top-colour explanations; note methodological caveat."
R060,Layering a collared shirt under a crewneck sweater exposes the collar and cuffs which adds visual structure to an otherwise soft knit outfit.,bottoms;outerwear,tops,seasonal_layering,"classic, refined, layered","neutral, tonal","work, smart casual","autumn, winter",unisex,tailored,smart casual,"shirt, sweater, collar, layering, cuff",book,True Style: The History and Principles of Classic Menswear,G. Bruce Boyer,2015,"Basic Books, New York, 2015",high,"Menswear reference book.","Boyer discusses shirt-under-sweater layering as a structural device in smart casual dressing.","Applies to cool-weather smart-casual dressing.","Not appropriate for warm-weather or fully casual contexts.",verified,"Layering recipe useful in cool-weather outfit generation."
R061,A fine-gauge merino knit layers under a blazer without adding bulk which is why it is often preferred to a heavier sweater for tailored smart-casual dressing.,outerwear;bottoms,tops,texture_material_matching,"refined, tailored, smart casual","neutral, tonal","work, smart casual","autumn, winter, spring",unisex,tailored,smart casual,"merino, fine gauge, blazer, layering, tailored",book,True Style: The History and Principles of Classic Menswear,G. Bruce Boyer,2015,"Basic Books, New York, 2015",high,"Menswear reference book.","Boyer recommends fine-gauge merino as the ideal knit layer under tailored jackets.","Applies to cool-weather tailored smart-casual dressing.","Chunkier knits will disrupt jacket line.",verified,"Material-matching evidence for smart-casual layering."
R062,A silk or satin camisole reads as more formal than a cotton tank and can be paired with tailored trousers or a skirt for an evening smart-casual look.,bottoms,tops,formal_evening_styling,"elegant, refined","tonal, neutral","evening, smart casual, party","spring, summer, autumn",womenswear,tailored,smart casual,"camisole, silk, satin, evening, smart casual",fashion_magazine,Harper's Bazaar,Hearst Communications,2021,"harpersbazaar.com (specific article to be verified)",medium,"Established fashion publication.","Bazaar features present silk camisoles as an evening-appropriate lightweight top.","Applies to womenswear evening dressing.","Silk care requirements apply; may be too informal for strict formal codes.",needs_manual_check,"Verify specific article URL."
R063,A polo shirt in fine cotton or piqué is a smart-casual menswear staple that pairs with chinos or lightweight trousers in warm weather.,bottoms,tops,casual_daytime_styling,"smart casual, classic","neutral, tonal","smart casual, casual, daytime","spring, summer",menswear,tailored,smart casual,"polo shirt, chinos, smart casual, summer",book,Gentleman: A Timeless Guide to Fashion,Bernhard Roetzel,2020,"H.F.Ullmann Publishing, updated editions since 1999",high,"Reference book on classic menswear.","Roetzel positions the polo as a warm-weather smart-casual menswear staple.","Applies to warm-weather smart-casual menswear.","Not appropriate for strict business dress codes.",verified,"Warm-weather menswear top recommendation."
R064,A boat-neck top provides a wider shoulder line that balances wider-cut trousers by adding matching visual width above the waist.,bottoms,tops,silhouette_balance,"classic, refined","neutral, tonal","work, smart casual","spring, summer, autumn",womenswear,proportions,smart casual,"boat neck, wide trouser, shoulder, balance",fashion_magazine,Vogue,Conde Nast,2020,"vogue.com (specific article to be verified)",medium,"Major fashion publication.","Vogue features pair boat necks with wider bottoms as a silhouette-balancing choice.","Applies to womenswear silhouette-balancing outfits.","Not appropriate for narrow tailored looks.",needs_manual_check,"Verify article URL."
R065,A puff-sleeve or extended-shoulder top adds volume across the upper body which can balance wider hips or fuller bottoms.,bottoms,tops,silhouette_balance,"refined, structured, contrast","neutral, tonal","work, smart casual, evening","all season",womenswear,proportions,smart casual,"puff sleeve, shoulder, hip balance, proportion",fashion_magazine,Harper's Bazaar,Hearst Communications,2022,"harpersbazaar.com (specific article to be verified)",medium,"Established fashion publication.","Bazaar features pair puff sleeves with wider bottoms as a silhouette-balancing device.","Applies to womenswear proportion balancing.","May be over-styled with already voluminous tops.",needs_manual_check,"Verify article URL."
R066,A sleeveless silk or silk-blend shell blouse under a tailored jacket is a warm-weather workwear standard because it allows a formal jacket in the heat.,outerwear;bottoms,tops,workwear_styling,"polished, tailored, refined","neutral, tonal","work, formal","spring, summer",womenswear,tailored,business casual,"sleeveless blouse, silk shell, jacket, summer workwear",fashion_magazine,Vogue,Conde Nast,2021,"vogue.com (specific article to be verified)",medium,"Major fashion publication.","Vogue workwear features consistently pair silk shells with tailored jackets in warm weather.","Applies to warm-weather workwear.","Sleeveless may be too informal for some workplaces.",needs_manual_check,"Verify article URL."
R067,A denim shirt reads as more casual than a cotton dress shirt and layers well over a plain t-shirt or under an unstructured jacket.,bottoms;outerwear,tops,casual_daytime_styling,"casual, relaxed, refined","blue denim, neutral","casual, smart casual","spring, autumn",unisex,relaxed fit,casual,"denim shirt, layering, casual, t-shirt",book,True Style: The History and Principles of Classic Menswear,G. Bruce Boyer,2015,"Basic Books, New York, 2015",high,"Menswear reference book.","Boyer situates denim shirts within the casual heritage-wear category.","Applies to casual and smart-casual layered outfits.","Not appropriate for formal or workwear contexts.",verified,"Casual layering top."
R068,A ribbed knit top adds vertical texture which can visually elongate the torso and pair with high-waisted bottoms.,bottoms,tops,texture_material_matching,"refined, minimal","neutral, tonal","casual, smart casual","autumn, winter, spring",womenswear,fitted,smart casual,"ribbed knit, vertical texture, elongate, high waist",fashion_magazine,Vogue,Conde Nast,2022,"vogue.com (specific article to be verified)",medium,"Major fashion publication.","Vogue texture features discuss vertical rib as a torso-elongating pattern.","Applies to fitted tops with high-waisted bottoms.","Not appropriate for oversized fits where the rib is not stretched to show.",needs_manual_check,"Verify article URL."
R069,A wrap-front top defines the waist which is a useful feature for balancing outfits with wider trousers or skirts.,bottoms,tops,silhouette_balance,"classic, refined","neutral, tonal","work, smart casual, evening","all season",womenswear,fitted,business casual,"wrap top, waist definition, wide trouser, silhouette",book,Tim Gunn's Fashion Bible,Tim Gunn,2012,"Gallery Books, New York, 2012",medium,"Editorial book on fit and silhouette.","Gunn recommends wrap tops for waist definition.","Applies to womenswear silhouette shaping.","May be uncomfortable across long working days depending on tie tension.",verified,"Silhouette shaping via top."
R070,A Peter Pan collar carries strong vintage and youthful associations and is more appropriate for casual and creative contexts than for strict formal dressing.,bottoms,tops,style_consistency,"classic, refined","neutral, white","casual, smart casual","all season",womenswear,not specified,smart casual,"peter pan collar, vintage, youthful, casual",book,How to Read a Dress,Lydia Edwards,2017,"Bloomsbury Academic, London, 2017",high,"Fashion historian's academic-press book.","Edwards traces the Peter Pan collar to twentieth-century childrenswear and vintage-inspired styles.","Applies to womenswear casual and creative dressing.","Not appropriate for strict business or formal contexts.",verified,"Style-consistency rule with historical grounding."
R071,An off-shoulder top exposes the collarbone and is more appropriate for warm-weather evening and party contexts than for daytime workwear.,bottoms,tops,formal_evening_styling,"elegant, refined","neutral, tonal","evening, party","spring, summer",womenswear,fitted,evening,"off shoulder, collarbone, evening, party",fashion_magazine,Vogue,Conde Nast,2021,"vogue.com (specific article to be verified)",medium,"Major fashion publication.","Vogue evening features consistently position off-shoulder tops in warm-weather and evening contexts.","Applies to warm-weather evening dressing.","Not appropriate for most workwear dress codes.",needs_manual_check,"Verify article URL."
R072,A fitted cotton t-shirt is the base casual top that layers under jackets shirts and knitwear across dress codes from casual to smart-casual.,bottoms;outerwear,tops,casual_daytime_styling,"casual, minimal","white, neutral","casual, smart casual","all season",unisex,fitted,casual,"t-shirt, base layer, casual, staple",book,True Style: The History and Principles of Classic Menswear,G. Bruce Boyer,2015,"Basic Books, New York, 2015",high,"Menswear reference book covering casual heritage.","Boyer treats the plain t-shirt as a fundamental modern casual base layer.","Applies to casual and smart-casual dressing.","Not appropriate as a standalone top for formal or business dress codes.",verified,"Base layer wardrobe rule."
R073,Contrasting top and bottom colours emphasise the waist by creating a visual break at the hemline while tonal top and bottom colours elongate the silhouette.,bottoms,tops,colour_coordination,"classic, refined, contrast","contrast, tonal, monochrome","work, smart casual, casual","all season",unisex,proportions,general,"contrast, tonal, colour break, waist, elongate",book,Gentleman: A Timeless Guide to Fashion,Bernhard Roetzel,2020,"H.F.Ullmann Publishing, updated editions since 1999",high,"Reference book on classic dressing.","Roetzel articulates contrast at the waist as a silhouette-shaping colour device.","Applies to colour-based outfit planning.","Personal preference may override.",verified,"Colour-and-proportion device for coordination."
R074,A printed or bold-colour top requires a plain solid bottom for balance so the print is read as intentional rather than overwhelming.,bottoms,tops,colour_coordination,"refined, contrast","tonal, neutral, bold colour","casual, smart casual, work","all season",unisex,not specified,general,"printed top, solid bottom, balance, coordination",book,The Little Black Book of Style,Nina Garcia,2007,"HarperCollins, New York, 2007",medium,"Editorial book by a former Elle fashion director.","Garcia recommends pairing printed pieces with solid ones for outfit balance.","Applies to outfit-building with a printed focal piece.","Not applicable to deliberate pattern-mixing outfits.",verified,"Print-and-solid balance rule."
R075,A formal dress shirt with a stiffer collar and cuffs supports a tie and jacket while a casual shirt with soft construction does not.,bottoms;outerwear,tops,formality_matching,"classic, refined, tailored","white, blue, neutral","work, formal","all season",menswear,tailored,formal,"dress shirt, collar, cuff, tie, formal",book,"Dressing the Man: Mastering the Art of Permanent Fashion",Alan Flusser,2002,"HarperCollins, New York, 2002",high,"Widely cited menswear reference.","Flusser distinguishes formal from casual shirts by collar and cuff construction.","Applies to tailored menswear.","Not applicable to casual or knit tops.",verified,"Formal shirt construction rule."
R076,A straight-leg trouser is a versatile silhouette that works across smart-casual and business dress codes because it neither exaggerates nor minimises the leg line.,tops,bottoms,style_consistency,"classic, tailored, refined","neutral, tonal","work, smart casual","all season",unisex,tailored,business casual,"straight leg, trouser, versatile, tailored",book,"Dressing the Man: Mastering the Art of Permanent Fashion",Alan Flusser,2002,"HarperCollins, New York, 2002",high,"Widely cited menswear reference.","Flusser identifies the straight leg as a neutral versatile trouser cut.","Applies to menswear and by extension to general tailored dressing.","Not appropriate for exaggerated fashion silhouettes.",verified,"Baseline trouser recommendation."
R077,Trouser hem length should sit close to the top of the shoe with only a slight break in formal contexts and a shorter cropped break in modern smart-casual contexts.,tops,bottoms,proportion_balance,"classic, tailored, refined","neutral, tonal","work, formal, smart casual","all season",menswear,tailored,formal,"trouser break, hem length, shoe, tailoring",book,True Style: The History and Principles of Classic Menswear,G. Bruce Boyer,2015,"Basic Books, New York, 2015",high,"Menswear reference book.","Boyer describes the shoe-adjacent trouser break as classic and shorter breaks as modern.","Applies to tailored menswear trouser hem.","Not applicable to jeans or casual trousers.",verified,"Alteration reference rule."
R078,Dark indigo denim reads as more formal than lighter washes and can be worn as a smart-casual trouser alternative with a blazer or jacket.,tops;outerwear,bottoms,smart_casual_styling,"smart casual, refined","dark denim, indigo","smart casual, work casual","all season",unisex,tailored,smart casual,"dark denim, indigo, blazer, smart casual",fashion_editorial,Style Journal,Mr Porter,2022,"mrporter.com/en-gb/journal (specific article to be verified)",medium,"Established retailer editorial.","Mr Porter journal features consistently rank dark indigo denim above lighter washes in the smart-casual hierarchy.","Applies to smart-casual denim-and-jacket outfits.","Not appropriate for strict business-formal dress codes.",needs_manual_check,"Verify specific journal URL."
R079,Light-wash and distressed denim is stronger in casual daytime contexts and weaker in workwear or smart-casual contexts because the finish signals informality.,tops,bottoms,casual_daytime_styling,"casual, relaxed","light denim, blue","casual, daytime","spring, summer",unisex,relaxed fit,casual,"light wash denim, distressed, casual, daytime",fashion_magazine,GQ,Conde Nast,2021,"gq.com (specific article to be verified)",medium,"Established menswear editorial publication.","GQ style features consistently place light-wash and distressed denim in the casual band.","Applies to casual daytime dressing.","Not appropriate for workwear or formal contexts.",needs_manual_check,"Verify specific GQ URL."
R080,A wide-leg trouser pairs cleanly with a fitted top so the volume in the leg is balanced by a closer top silhouette.,tops,bottoms,silhouette_balance,"refined, contrast","neutral, tonal","work, smart casual, evening","all season",unisex,proportions,smart casual,"wide leg, fitted top, volume balance, proportion",fashion_magazine,Vogue,Conde Nast,2022,"vogue.com (specific article to be verified)",medium,"Major fashion publication.","Vogue silhouette features pair wide trousers with fitted tops.","Applies to smart-casual and evening silhouette-balancing outfits.","Not appropriate where a straight column silhouette is intended.",needs_manual_check,"Verify article URL."
R081,A cigarette or slim ankle-length trouser pairs cleanly with a heeled shoe by exposing the ankle and drawing the eye down to the shoe.,tops,bottoms,shoe_pairing,"classic, tailored, refined","neutral, black, tonal","work, smart casual","all season",womenswear,tailored,business casual,"cigarette trouser, ankle length, heel, workwear",book,The Little Black Book of Style,Nina Garcia,2007,"HarperCollins, New York, 2007",medium,"Editorial book on wardrobe essentials.","Garcia pairs cigarette trousers with heeled shoes for workwear silhouette.","Applies to womenswear workwear and smart-casual dressing.","Not appropriate with flats where the ankle exposure adds no visual benefit.",verified,"Trouser-and-shoe pairing rule."
R082,Pleated trousers create additional drape at the front and are appropriate in a fuller trouser cut where the pleats are supported by the fabric.,tops,bottoms,texture_material_matching,"classic, tailored, refined","neutral, tonal","work, formal, smart casual","all season",menswear,tailored,formal,"pleated trouser, drape, full cut, tailored",book,"Dressing the Man: Mastering the Art of Permanent Fashion",Alan Flusser,2002,"HarperCollins, New York, 2002",high,"Widely cited menswear reference.","Flusser discusses pleats as a drape feature that requires a fuller trouser cut.","Applies to classic tailored menswear.","Not appropriate for slim modern silhouettes.",verified,"Trouser cut and pleat rule."
R083,Flat-front trousers create a clean lean silhouette and are more consistent with modern slim-cut tailoring than pleated equivalents.,tops,bottoms,silhouette_balance,"tailored, refined, minimal","neutral, tonal","work, smart casual","all season",menswear,tailored,business casual,"flat front, slim trouser, modern, tailored",book,True Style: The History and Principles of Classic Menswear,G. Bruce Boyer,2015,"Basic Books, New York, 2015",high,"Menswear reference book.","Boyer identifies flat-front trousers as the modern lean silhouette.","Applies to modern tailored menswear.","Not appropriate for classic wide pleated cuts.",verified,"Modern menswear trouser rule."
R084,A midi skirt hitting at or just below the knee is one of the most versatile skirt lengths across workwear smart-casual and daytime dressing.,tops,bottoms,style_consistency,"classic, refined","neutral, tonal","work, smart casual, daytime","all season",womenswear,proportions,business casual,"midi skirt, knee length, versatile, workwear",book,Tim Gunn's Fashion Bible,Tim Gunn,2012,"Gallery Books, New York, 2012",medium,"Editorial book on wardrobe basics.","Gunn recommends knee-length midi skirts as a versatile wardrobe base.","Applies to womenswear versatile dressing.","Not appropriate for very casual beach or athletic contexts.",verified,"Baseline womenswear skirt length."
R085,A pencil skirt provides a fitted straight silhouette that reads as formal workwear and pairs with heeled shoes and a tucked-in blouse.,tops,bottoms,workwear_styling,"tailored, polished, classic","neutral, tonal","work, formal","all season",womenswear,fitted,business casual,"pencil skirt, workwear, fitted, heel",book,The Little Black Book of Style,Nina Garcia,2007,"HarperCollins, New York, 2007",medium,"Editorial book on wardrobe essentials.","Garcia positions the pencil skirt as a workwear staple.","Applies to womenswear workwear.","May restrict movement; not appropriate for very casual or athletic contexts.",verified,"Formal skirt-and-blouse formula."
R086,An A-line skirt broadens gently from the waist to the hem and offers a classic silhouette that balances fuller or curvier hips.,tops,bottoms,silhouette_balance,"classic, refined","neutral, tonal","work, smart casual, daytime","all season",womenswear,proportions,business casual,"a-line skirt, waist, hem, hip balance",book,How to Read a Dress,Lydia Edwards,2017,"Bloomsbury Academic, London, 2017",high,"Fashion historian's academic-press book.","Edwards traces the A-line as a mid-twentieth-century silhouette introduced to balance hip volume.","Applies to womenswear silhouette-balancing skirts.","Not appropriate for narrow modernist looks.",verified,"Silhouette-balancing skirt rule with historical grounding."
R087,Denim can be dressed up with a heel a silk blouse and a tailored jacket producing a smart-casual look that is well documented in editorial practice.,tops;outerwear,bottoms,smart_casual_styling,"smart casual, refined","dark denim, neutral","smart casual, evening","all season",womenswear,tailored,smart casual,"denim, heel, silk blouse, tailored jacket",fashion_magazine,Vogue,Conde Nast,2021,"vogue.com (specific article to be verified)",medium,"Major fashion publication.","Vogue features consistently document the elevated denim-with-tailoring formula.","Applies to womenswear smart-casual evening dressing.","Not appropriate for strict business dress codes.",needs_manual_check,"Verify article URL."
R088,Chinos in cotton twill are a smart-casual menswear trouser standard that pairs with polos oxford shirts and unstructured blazers.,tops;outerwear,bottoms,smart_casual_styling,"smart casual, classic","neutral, khaki, tonal","smart casual, casual, work casual","spring, summer, autumn",menswear,tailored,smart casual,"chinos, twill, polo, oxford, smart casual",book,True Style: The History and Principles of Classic Menswear,G. Bruce Boyer,2015,"Basic Books, New York, 2015",high,"Menswear reference book covering casual staples.","Boyer traces chinos to military heritage and identifies them as a modern smart-casual staple.","Applies to smart-casual menswear.","Not appropriate for strict business-formal dress codes.",verified,"Menswear smart-casual trouser rule."
R089,In a matched suit the trouser is cut from the same fabric as the jacket so any deviation in colour or fabric breaks the suit and becomes an odd jacket combination.,outerwear,bottoms,style_consistency,"classic, tailored, refined","tonal, neutral","work, formal","all season",menswear,tailored,formal,"suit, matched trouser, odd jacket, fabric",book,"Dressing the Man: Mastering the Art of Permanent Fashion",Alan Flusser,2002,"HarperCollins, New York, 2002",high,"Widely cited menswear reference.","Flusser articulates the suit-versus-odd-jacket distinction.","Applies to tailored menswear.","Not applicable to casual outerwear.",verified,"Foundational tailoring definition rule."
R090,In an odd-jacket combination trousers are chosen in a contrasting fabric or colour so the jacket and trouser are visibly distinct pieces.,outerwear,bottoms,smart_casual_styling,"smart casual, tailored, refined","tonal, contrast","smart casual, work casual","all season",menswear,tailored,smart casual,"odd jacket, blazer, contrasting trouser, smart casual",book,"Dressing the Man: Mastering the Art of Permanent Fashion",Alan Flusser,2002,"HarperCollins, New York, 2002",high,"Widely cited menswear reference.","Flusser codifies odd-jacket combinations as visibly contrasting pieces.","Applies to tailored smart-casual menswear.","Not applicable when a full matched suit is required.",verified,"Odd-jacket definition rule."
R091,A cropped or ankle-length trouser pairs cleanly with ankle boots or low loafers because both stop at similar heights leaving a small visible break.,tops,bottoms,shoe_pairing,"smart casual, refined","neutral, tonal","smart casual, casual, work","spring, autumn",unisex,proportions,smart casual,"cropped trouser, ankle boot, loafer, break",fashion_editorial,Style Journal,Mr Porter,2022,"mrporter.com/en-gb/journal (specific article to be verified)",medium,"Established retailer editorial.","Mr Porter features pair cropped trousers with ankle boots and loafers as a proportion recipe.","Applies to smart-casual dressing with cropped trousers.","Not appropriate with tall boots where the ankle exposure is lost.",needs_manual_check,"Verify journal URL."
R092,Skinny jeans pair cleanly with longer or oversized tops because the volume contrast prevents an overall silhouette from reading as skinny at every point.,tops,bottoms,silhouette_balance,"casual, relaxed, contrast","dark denim, neutral","casual, smart casual","all season",unisex,fitted,casual,"skinny jeans, oversized top, volume, contrast",fashion_magazine,Vogue,Conde Nast,2020,"vogue.com (specific article to be verified)",medium,"Major fashion publication.","Vogue silhouette features pair skinny bottoms with oversized tops for balance.","Applies to casual and smart-casual dressing.","Not appropriate where a fully slim silhouette is intended.",needs_manual_check,"Verify article URL."
