rule_id,audit_decision,replacement_rule_ids,audit_note,experimental_results_inspected,rule_text,input_category,recommended_category,scenario_label,style_tags,colour_tags,occasion_tags,season_tags,gender_context,body_fit_context,formality_level,evidence_keywords,source_type,source_title,source_author_or_org,source_year,source_url_or_reference,source_reliability,source_reliability_reason,evidence_basis,rule_scope,rule_limitations,manual_verification_status,notes
R035,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For a lounge suit, recommend a tie, pocket square or dress watch only when the requested setting is formal or business rather than casual.",bottoms,accessories,formality_matching,"formal, classic, tailored","navy, grey, black, neutral","work, formal, wedding",all season,menswear,tailored,formal,"lounge suit, tie, pocket square, dress watch, formal accessories",museum_or_institution,Events and Dress Codes,Debrett's,unknown,https://debretts.com/etiquette-category/events-and-dress-codes/,high,Long-established etiquette authority covering formal and semi-formal dress codes.,The source distinguishes lounge suit and formal dress codes from more casual event attire.,Best for formal menswear suit accessorising.,May not apply to workplaces that discourage ties or formal accessories.,verified,Use when formality_level is formal or business casual.
R036,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For smart-casual menswear, recommend accessories that keep the outfit neat but not ceremonial, such as a leather belt or simple watch.",bottoms,accessories,smart_casual_styling,"smart casual, refined, relaxed","brown, black, neutral","smart casual, dinner, work",all season,menswear,tailored,smart casual,"smart casual, leather belt, simple watch, restrained accessories",fashion_magazine,"A full, BS-free breakdown of how to do smart-casual",British GQ,2023,https://www.gq-magazine.co.uk/article/how-to-dress-smart-casual,high,Reputable menswear publication giving explicit smart-casual category guidance.,The source defines smart casual as a middle ground between tailoring and relaxed clothing.,Best for smart-casual accessories.,May not apply to formal ceremonies or streetwear styling.,verified,Use to keep explanations aligned with smart-casual middle-ground logic.
R037,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For business-casual outfits, recommend clean and simple accessories rather than ornate evening pieces because business casual is framed as polished work dressing.",tops,accessories,workwear_styling,"business casual, polished, minimal","black, brown, neutral, metallic","work, business casual",all season,general,not specified,business casual,"business casual, simple accessories, office, clean styling, workwear",fashion_magazine,What Does Business Casual Attire Mean in 2025? A Guide for Men,GQ,2025,https://www.gq.com/story/business-casual-attire-for-men-explained,high,Reputable menswear editorial source giving dress-code guidance for work and business-casual contexts.,"The source describes business casual around clean, simple work-appropriate items and smart-looking finishing pieces.",Best for office and business-casual recommendations.,May not apply to creative workplaces with expressive dress norms.,verified,Use for workplace explanation constraints.
R038,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For monochrome outfits, recommend accessories in the same colour family or one deliberate accent because tonal dressing depends on controlled colour variation.",tops,accessories,colour_coordination,"minimal, tonal, polished","monochrome, tonal, contrast","work, evening, smart casual",all season,general,balanced silhouette,general,"monochrome outfit, tonal bag, tonal jewellery, accent accessory",fashion_editorial,How To Wear The Street Style Trend for Tonal Colours,British Vogue,2018,https://www.vogue.co.uk/gallery/how-to-wear-tonal-colours,medium,"Reputable editorial styling gallery, but advice is trend-oriented and less formal than academic evidence.",The source describes tonal dressing as combining variations of one hue.,Best for monochrome outfit completion.,May not apply to print-heavy outfits.,verified,Use for colour-aware accessory reranking.
R039,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For outfits using complementary colours, recommend accessories as the controlled contrast point rather than adding multiple competing garment colours.",tops,accessories,colour_coordination,"polished, expressive, minimal","complementary, contrast, bold colour","casual, smart casual, evening",all season,general,balanced silhouette,general,"complementary colours, accent bag, contrast jewellery, colour wheel",reputable_blog,How to Match Clothes Using the Color Wheel,MasterClass,2021,https://www.masterclass.com/articles/how-to-match-clothes-using-the-color-wheel,medium,Recognised educational publisher; useful for general colour-wheel concepts but not peer-reviewed fashion evidence.,The source explains complementary colours as a colour-wheel scheme that can guide outfit matching.,Best for adding one colour accent to a restrained outfit.,May not apply to maximalist or colour-blocked styling goals.,verified,Use when user request asks for colour coordination.
R040,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For neutral outfits, recommend a metallic accessory when the user requests evening polish because metallic accents can add dressiness without changing the clothing palette.",tops,accessories,formal_evening_styling,"elegant, polished, minimal","metallic, neutral, black","evening, date night, party",all season,womenswear,not specified,evening,"neutral outfit, metallic accessory, evening polish, jewellery, clutch",fashion_magazine,What To Wear To A Wedding,British Vogue,2019,https://www.vogue.co.uk/article/what-to-wear-to-a-wedding,high,Highly reputable fashion editorial source on occasion-appropriate wedding guest styling.,The source gives metallic jewellery as an example of sharpening or toughening a softer dress look.,Best for neutral evening outfits.,May not apply to conservative daytime or no-jewellery preferences.,verified,Useful for explanation generation around colour/material accents.
R041,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For a work dress or structured office outfit, recommend a structured bag and minimal jewellery because business styling usually favours polish and clarity over decorative excess.",dresses,accessories,workwear_styling,"business casual, polished, structured","black, navy, brown, neutral","work, business casual",all season,womenswear,tailored,business casual,"work dress, structured bag, minimal jewellery, office accessories",retailer_style_guide,Business Casual Clothing And Styling,Stitch Fix,unknown,https://www.stitchfix.com/women/business-casual,medium,"Established styling service category guide, but publication date and evidence detail are limited.",The source positions business-casual clothing around structured workwear pieces.,Best for office dress accessorising.,May not apply to creative-office or casual-Friday styling.,verified,Retrieve for work and business casual queries.
R042,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For outerwear-led outfits, recommend accessories that match the coat's formality, such as a leather bag with tailored coats or relaxed knit accessories with casual jackets.",outerwear,accessories,style_consistency,"tailored, relaxed, classic","neutral, black, brown","work, casual, winter","autumn, winter",general,layering,general,"coat, leather bag, knit scarf, tailored coat, casual jacket",academic_paper,Bootstrapping Complete the Look at Pinterest,Pinterest Research,2020,https://arxiv.org/abs/2006.10792,high,Industry-scale academic paper on complementary fashion item recommendation and complete-the-look tasks.,"The source studies complete-the-look recommendation, where different item categories are chosen to complement an existing outfit.",Best for matching accessory formality to outerwear.,Requires visual or textual detection of coat style.,verified,Use for outerwear-to-accessory recommendations.
R043,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For a tailored coat, recommend a structured bag or refined scarf because structured outerwear is best completed with accessories that preserve the polished line.",outerwear,accessories,accessory_coordination,"tailored, polished, classic","black, camel, navy, neutral","work, smart casual, winter","autumn, winter",general,tailored,business casual,"tailored coat, structured bag, refined scarf, polished accessories",museum_or_institution,Fashion - Explore the Collections,Victoria and Albert Museum,unknown,https://www.vam.ac.uk/collections/fashion,high,Major museum institution with authoritative fashion collection and material/design context.,"The museum collection source supports analysing fashion through construction, material and design context, useful for structured garment reasoning.",Best for tailored outerwear and polished accessories.,Museum evidence supports design context more than direct styling advice.,needs_manual_check,Use with manual audit note if relying on garment construction terminology.
R044,legacy_accessory_ontology,K028|K033,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For casual jackets, recommend relaxed accessories such as canvas totes, caps or knit scarves when the user asks for daytime styling.",outerwear,accessories,casual_daytime_styling,"casual, relaxed, streetwear","neutral, earth tones, bold colour","casual, daytime, travel","spring, autumn, winter",unisex,relaxed fit,casual,"casual jacket, tote, cap, knit scarf, daytime accessories",fashion_magazine,A Celebrity Guide To Nailing A Smart Casual Dress Code,British Vogue,2023,https://www.vogue.co.uk/article/smart-casual-dress-code-celebrity-guide,high,Highly reputable fashion editorial source discussing smart-casual balance using visible outfit examples.,The source frames smart/casual styling as balancing relaxed and elegant pieces.,Best for relaxed jacket-based outfits.,May not apply to formal coats or business settings.,verified,Use occasion tags to avoid recommending casual accessories for formal contexts.
R045,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For shoes with strong visual detail, recommend simple accessories so the outfit has one clear accent rather than several competing focal points.",shoes,accessories,accessory_coordination,"minimal, polished, refined","neutral, metallic, contrast","evening, smart casual, party",all season,general,balanced silhouette,general,"statement shoes, simple bag, minimal jewellery, focal point",retailer_style_guide,"Your Guide To Elegant Date-Night Style, By 5 Fashion Insiders",NET-A-PORTER / PORTER,2026,https://www.net-a-porter.com/en-gb/porter/article-f6421bef33aadc15/fashion/art-of-style/%252Fporter%252Farticle-f6421bef33aadc15,medium,"Established luxury retailer/editorial source with named fashion-insider guidance, but commercial context.",The source advises complementing minimal outfits with accessories and implies accessory choices should tie the look together rather than compete.,Best for statement shoes and restrained accessories.,May not apply to maximalist styling or editorial shoots.,verified,Use for shoe-to-accessory explanation constraints.
R046,legacy_accessory_ontology,K037,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For metallic shoes, recommend a bag or jewellery that repeats or harmonises with the metallic tone when the user requests a polished evening outfit.",shoes,accessories,texture_material_matching,"elegant, polished, refined","metallic, neutral","evening, party, wedding",all season,womenswear,not specified,evening,"metallic shoes, metallic bag, jewellery, evening accessories, texture",retailer_style_guide,The Harrods Guide to Women’s Black-Tie Dress Codes,Harrods,unknown,https://www.harrods.com/en-gb/c/stories/women/black-tie-dress-code-guide,medium,"Established luxury retailer with expert style guidance, but commercial context and limited date clarity.",The source discusses black-tie accessories and shoes as part of women's evening dress-code styling.,Best for evening or black-tie accessory matching.,May not apply to casual metallic footwear.,verified,Use material tags to align accessories with shoes.
R047,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For loafers in smart-casual menswear, recommend socks, belt or watch choices that keep the look intentional rather than overly formal.",shoes,accessories,smart_casual_styling,"smart casual, classic, relaxed","black, brown, neutral","smart casual, daytime, work",all season,menswear,not specified,smart casual,"loafers, socks, belt, watch, smart casual accessories",fashion_magazine,How to wear loafers and look like a grownup,British GQ,2026,https://www.gq-magazine.co.uk/article/how-to-wear-loafers,medium,"Reputable menswear editorial source, but loafer styling guidance is contextual and partly trend-sensitive.",The source explains how loafer shape and styling details shift between casual and formal readings.,Best for menswear loafer-based outfits.,May not apply to black-tie footwear or athletic shoes.,verified,Retrieve when shoe category includes loafers.
R048,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For black dress shoes in formalwear, recommend restrained accessories such as cufflinks or a pocket square because formal menswear relies on controlled finishing details.",shoes,accessories,formal_evening_styling,"formal, classic, polished","black, white, metallic","formal, evening, black tie",all season,menswear,tailored,formal,"black dress shoes, cufflinks, pocket square, formal accessories",fashion_magazine,Black tie dress code explained,British GQ,2024,https://www.gq-magazine.co.uk/article/black-tie-guide,high,Highly reputable menswear editorial source explaining formal dress-code conventions.,The source links black-tie outfits to formal shoes and conventional evening dress components.,Best for black-tie menswear accessories.,May not apply to creative dress codes.,verified,Use with formality-level filtering.
R049,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For an outfit with patterned clothing, recommend accessories in a quieter colour pulled from the pattern rather than adding an unrelated competing colour.",tops,accessories,colour_coordination,"classic, polished, minimal","neutral, tonal, complementary","work, smart casual, casual",all season,general,balanced silhouette,general,"patterned top, quiet accessories, colour from pattern, bag, jewellery",book,Interaction of Color,Josef Albers,1963,"Albers, Josef. Interaction of Color. Yale University Press, 1963.",high,Canonical colour-theory book; not fashion-specific but authoritative for visual colour interaction principles.,The book establishes that colours interact visually; using a related colour helps control contrast and interaction.,Best for pattern-heavy outfits needing accessories.,"Colour theory source is not fashion-specific, so combine with styling evidence where possible.",verified,Use for colour-retrieval when pattern terms appear.
R050,outside_taxonomy,,Removed because the input category is not one of the five frozen categories.,false,"For fashion-item recommendation, treat accessories as complementary items rather than substitutes when completing an outfit around an existing garment.",dresses,accessories,style_consistency,"general, coordinated","neutral, complementary","casual, work, evening",all season,general,not specified,general,"accessories, complementary item, complete the look, outfit compatibility",academic_paper,Bootstrapping Complete the Look at Pinterest,Pinterest Research,2020,https://arxiv.org/abs/2006.10792,high,Industry-scale academic paper on complementary fashion item recommendation and complete-the-look tasks.,The paper studies recommendation of items that complete an outfit rather than replace an existing item.,Best as an academic foundation for accessory retrieval.,Does not specify exact styling types; combine with specific fashion rules.,verified,Use as general RAG evidence for accessory completion.
R051,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For a classic menswear outfit, recommend accessories that maintain proportion with tailoring, such as a belt width and tie scale that do not visually overpower the suit.",tops,accessories,proportion_balance,"classic, tailored, formal","black, brown, navy, neutral","work, formal, smart casual",all season,menswear,proportions,business casual,"menswear accessories, tie scale, belt, tailoring, proportion",book,Dressing the Man: Mastering the Art of Permanent Fashion,Alan Flusser,2002,"Flusser, Alan. Dressing the Man: Mastering the Art of Permanent Fashion. HarperCollins, 2002.",high,"Well-known menswear book focused on stable tailoring, proportion and classic dress principles.","The book focuses on permanent menswear principles including tailoring, proportion and harmony.",Best for classic tailored menswear.,Book guidance may be conservative and menswear-specific.,verified,Use for proportion-aware accessory explanations.
R052,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For colour-aware outfit generation, recommend accessories whose colour is compatible with the existing clothing palette because colour compatibility is a measurable signal in fashion recommendation.",accessories,accessories,colour_coordination,"general, coordinated","neutral, complementary, tonal, contrast","casual, work, evening",all season,general,not specified,general,"accessory colour, outfit palette, colour compatibility, recommendation",academic_paper,Learning Color Compatibility in Fashion Outfits,"Heming Zhang, Xuewen Yang, Jianchao Tan, Chi-Hao Wu, Jue Wang, C.-C. Jay Kuo",2020,https://arxiv.org/abs/2007.02388,high,Academic paper explicitly modelling colour compatibility as an outfit recommendation signal.,The paper shows that colour compatibility is important for fashion outfit compatibility prediction.,Best for colour-aware accessory-to-accessory or outfit completion.,Needs item metadata or image colour extraction to apply automatically.,verified,Use as academic grounding for colour-score features.
R053,retained_or_rewritten,K001,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For wide-leg trousers, recommend a fitted or tucked top because reducing volume above the waist helps offset the fullness of the trouser leg.",bottoms,tops,silhouette_balance,"polished, structured, minimal","neutral, tonal","work, smart casual, daytime",all season,womenswear,"fitted, proportions",smart casual,"wide leg trousers, fitted top, tucked top, volume balance, waist definition",retailer_style_guide,How to wear Wide-Leg Pants,Stitch Fix,2021,https://www.stitchfix.com/women/blog/?p=70798,medium,"Established styling service with practical stylist guidance, but commercial retailer context.",The source gives a stylist tip to offset wide-leg fullness by pairing the trousers with fitted tops.,Best for wide-leg trousers and volume balancing.,May not apply to intentionally oversized or relaxed silhouettes.,verified,High-value rule for silhouette-aware top reranking.
R054,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For petite wide-leg jeans, recommend a top that defines the waist, such as a tucked blouse or cropped knit, because the source links high-rise waist emphasis to balancing wide proportions.",bottoms,tops,proportion_balance,"polished, tailored, minimal","neutral, tonal","work, smart casual, daytime",all season,womenswear,proportions,smart casual,"petite wide leg jeans, tucked blouse, cropped knit, waist definition",retailer_style_guide,How to wear wide-leg pants for petites,Stitch Fix,2024,https://www.stitchfix.com/women/blog/?p=20952,medium,"Established styling service with body-proportion guidance, but commercial retailer context.",The source says high-rise wide-leg styles hit near the narrowest waist and can create a tailored feel.,Best for petite or proportion-sensitive wide-leg styling.,May not apply to low-rise trousers or deliberately slouchy styling.,verified,Use when user mentions petite or proportion concerns.
R055,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For straight-leg jeans, recommend tops selected by the intended formality: a tee for casual, a blouse for polish, or a blazer layer for work.",bottoms,tops,formality_matching,"casual, polished, classic","white, black, neutral","casual, work, daytime",all season,womenswear,balanced silhouette,smart casual,"straight leg jeans, tee, blouse, blazer, denim formality",retailer_style_guide,How to Style Straight-Leg Jeans,Stitch Fix,2022,https://www.stitchfix.com/women/blog/?p=76873,medium,"Established styling service guide with explicit shoe/top advice for jeans, but commercial context.",The source states that choosing the right tops and shoes creates a complementary straight-leg jeans outfit.,Best for straight-leg denim top recommendations.,May not apply to formal dress codes where jeans are excluded.,verified,Use for top reranking based on user-request formality.
R056,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For smart-casual trousers, recommend a collared shirt, knit polo or fine-gauge sweater because smart casual balances relaxed clothing with tailored pieces.",bottoms,tops,smart_casual_styling,"smart casual, classic, refined","white, navy, grey, neutral","smart casual, dinner, work",all season,menswear,tailored,smart casual,"smart casual trousers, collared shirt, knit polo, fine gauge sweater",fashion_magazine,"A full, BS-free breakdown of how to do smart-casual",British GQ,2023,https://www.gq-magazine.co.uk/article/how-to-dress-smart-casual,high,Reputable menswear publication giving explicit smart-casual category guidance.,"The source links smart-casual styling to tailored trousers, shirts and pieces smarter than tracksuits but less formal than suits.",Best for menswear smart-casual top selection.,May not apply to formal events requiring a shirt and tie.,verified,Use for smart-casual cross-category retrieval.
R057,retained_or_rewritten,K002,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For chinos, recommend softer tailoring or knitwear rather than only stiff dress shirts when the goal is modern smart casual.",bottoms,tops,smart_casual_styling,"smart casual, relaxed, refined","neutral, navy, beige","smart casual, date night, daytime","spring, autumn, winter",menswear,relaxed fit,smart casual,"chinos, knitwear, soft tailoring, relaxed smart casual",fashion_magazine,Chinos don't suck - you just suck at styling them,British GQ,2025,https://www.gq-magazine.co.uk/article/what-to-wear-with-chinos,medium,"Reputable menswear editorial source, but the article is practical styling advice rather than academic evidence.",The source suggests swapping stiff shirt-and-blazer combinations for softer tailoring and knits with chinos.,Best for chino-based smart-casual outfits.,May not apply to strict business or formal contexts.,verified,Use to recommend knit tops with chinos.
R058,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For business-casual bottoms, recommend clean shirts, sweaters or simple polished tops because business casual should remain work-appropriate even when relaxed.",bottoms,tops,workwear_styling,"business casual, polished, classic","white, navy, grey, neutral","work, business casual",all season,general,tailored,business casual,"business casual trousers, clean shirt, sweater, office top",fashion_magazine,What Does Business Casual Attire Mean in 2025? A Guide for Men,GQ,2025,https://www.gq.com/story/business-casual-attire-for-men-explained,high,Reputable menswear editorial source giving dress-code guidance for work and business-casual contexts.,"The source frames business casual as clean and simple work dressing with sweaters, blazers and smart-looking items.",Best for workwear top recommendations.,May not apply to uniformed workplaces or formal offices.,verified,Retrieve for office and work user requests.
R059,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a casual skirt or jeans outfit, recommend a simple tee or casual shirt when the request is daytime rather than evening.",bottoms,tops,casual_daytime_styling,"casual, relaxed, classic","white, neutral, pastel","casual, daytime, travel","spring, summer, autumn",general,relaxed fit,casual,"jeans, skirt, t-shirt, casual shirt, daytime outfit",museum_or_institution,Attire Guide: Dress Codes from Casual to White Tie,Emily Post Institute,unknown,https://emilypost.com/advice/attire-guide-dress-codes-from-casual-to-white-tie,high,Authoritative etiquette institution with stable dress-code guidance.,The attire guide distinguishes casual clothing from business and formal dress-code categories.,Best for casual daytime outfit completion.,May not apply to smart-casual venues or dress-code events.,verified,Use to avoid over-formal top recommendations for casual prompts.
R060,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For formal trousers or a suit, recommend a dress shirt rather than a T-shirt because formal dress codes separate suits from casual dressing.",bottoms,tops,formality_matching,"formal, classic, tailored","white, blue, black","formal, work, wedding",all season,menswear,tailored,formal,"formal trousers, suit, dress shirt, formal top, lounge suit",museum_or_institution,Events and Dress Codes,Debrett's,unknown,https://debretts.com/etiquette-category/events-and-dress-codes/,high,Long-established etiquette authority covering formal and semi-formal dress codes.,The source describes formal and lounge suit dress codes as conventional dressed-up attire.,Best for formal menswear top recommendations.,May not apply to fashion-forward casual suiting.,verified,Use for formal formality-level filtering.
R061,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a neutral bottom, recommend a top within the same tonal family when the user requests a quiet minimal outfit.",bottoms,tops,colour_coordination,"minimal, tonal, classic","neutral, monochrome, tonal","work, smart casual, casual",all season,general,balanced silhouette,general,"neutral trousers, tonal top, monochrome, minimal palette",fashion_editorial,How To Wear The Street Style Trend for Tonal Colours,British Vogue,2018,https://www.vogue.co.uk/gallery/how-to-wear-tonal-colours,medium,"Reputable editorial styling gallery, but advice is trend-oriented and less formal than academic evidence.",The source describes mixing variations of one hue for tonal dressing.,Best for minimal or monochrome outfits.,May not apply to users requesting contrast or bold colour.,verified,Use colour tags to rerank tonal tops.
R062,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a bold-colour bottom, recommend either a neutral top for restraint or a colour-wheel-based top when the user explicitly wants colour coordination.",bottoms,tops,colour_coordination,"polished, expressive, casual","bold colour, neutral, complementary","casual, smart casual, evening",all season,general,balanced silhouette,general,"bold trousers, neutral top, complementary colour, colour wheel",fashion_magazine,How to Master Color Theory for Clothing Like a Vogue Fashion Editor,Vogue,2026,https://www.vogue.com/article/color-theory-for-clothing,high,Highly reputable fashion editorial source connecting clothing coordination to colour-theory principles.,The source explains building outfits using colour theory and the colour wheel.,Best for colour-aware top selection.,May not apply where brand-specific colour matching is desired.,verified,Use in retrieval for bold-colour item text.
R063,citation_overreach,,Removed because the cited evidence supports a general method or design concept but not the concrete styling prescription.,false,"For patterned bottoms, recommend a quieter solid top that repeats one colour from the pattern when the goal is a coherent outfit.",bottoms,tops,colour_coordination,"classic, polished, minimal","tonal, neutral, complementary","work, smart casual, casual",all season,general,balanced silhouette,general,"patterned trousers, solid top, colour from pattern, coherent palette",book,Interaction of Color,Josef Albers,1963,"Albers, Josef. Interaction of Color. Yale University Press, 1963.",high,Canonical colour-theory book; not fashion-specific but authoritative for visual colour interaction principles.,"The book explains visual colour interaction, supporting controlled repetition of colour rather than unrelated contrast.",Best for patterned bottoms and conservative styling.,Colour theory is not fashion-specific; combine with fashion-source evidence when possible.,verified,Use pattern keywords to retrieve this rule.
R064,retained_or_rewritten,K004,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For jeans and loafers, recommend a top that is cleaner than sportswear, such as a button-down, knit or plain tee with an outer layer, to keep the look smart casual.",shoes,tops,smart_casual_styling,"smart casual, classic, relaxed","white, navy, neutral","smart casual, daytime, work",all season,menswear,balanced silhouette,smart casual,"loafers, jeans, button down, knit, plain tee, smart casual",fashion_magazine,How to wear loafers and look like a grownup,British GQ,2026,https://www.gq-magazine.co.uk/article/how-to-wear-loafers,medium,"Reputable menswear editorial source, but loafer styling guidance is contextual and partly trend-sensitive.",The source frames loafers as able to work with denim while their shape shifts the outfit between casual and formal.,Best for loafer-led smart-casual outfits.,May not apply to black-tie shoes or athletic sneakers.,verified,Use when query item is shoes and target is tops.
R065,retained_or_rewritten,K003,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For clean trainers with chinos, recommend a crisp shirt or unstructured blazer layer over a tee to keep the outfit smart enough for dinner or date-night settings.",shoes,tops,smart_casual_styling,"smart casual, relaxed, refined","white, beige, neutral","date night, smart casual, daytime","spring, summer, autumn",menswear,relaxed fit,smart casual,"clean trainers, chinos, crisp shirt, unstructured blazer, tee",fashion_magazine,How to style chinos and trainers,British GQ,2026,https://www.gq-magazine.co.uk/article/how-to-style-chinos-and-trainers,medium,"Reputable menswear editorial source, but rule is style-editorial rather than formal dress-code evidence.",The source says chinos and trainers can work for dinners or dates when supported by a crisp shirt or unstructured blazer over a tee.,Best for trainer-led smart-casual looks.,May not apply to formal offices or athletic trainers.,verified,Use to connect shoe style to top recommendations.
R066,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For black-tie footwear, recommend a formal shirt or evening top rather than casual knitwear because black-tie footwear belongs to a complete formal evening system.",shoes,tops,formal_evening_styling,"formal, polished, classic","white, black","formal, evening, black tie",all season,menswear,tailored,formal,"black tie shoes, formal shirt, evening top, tuxedo shirt",fashion_magazine,Black tie dress code explained,British GQ,2024,https://www.gq-magazine.co.uk/article/black-tie-guide,high,Highly reputable menswear editorial source explaining formal dress-code conventions.,The source links black-tie shoes with the larger black-tie dress code and formal evening wear components.,Best for formal shoe-to-top recommendations.,May not apply to creative black-tie variants.,verified,Use when shoes indicate black-tie formality.
R067,legacy_accessory_ontology,K007,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For accessories that are already statement pieces, recommend a simple top so the outfit retains a clear focal point.",accessories,tops,style_consistency,"minimal, polished, refined","neutral, black, white","evening, smart casual, party",all season,general,balanced silhouette,general,"statement jewellery, statement bag, simple top, focal point",retailer_style_guide,"Your Guide To Elegant Date-Night Style, By 5 Fashion Insiders",NET-A-PORTER / PORTER,2026,https://www.net-a-porter.com/en-gb/porter/article-f6421bef33aadc15/fashion/art-of-style/%252Fporter%252Farticle-f6421bef33aadc15,medium,"Established luxury retailer/editorial source with named fashion-insider guidance, but commercial context.",The source advises using statement jewellery or a handbag to complement a minimal outfit.,Best for accessory-led outfits.,May not apply to maximalist styling.,verified,Use to avoid recommending overly busy tops with statement accessories.
R068,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For a structured bag or polished accessory, recommend a top with a similarly polished finish, such as a blouse, shirt or fine knit.",accessories,tops,style_consistency,"polished, classic, refined","neutral, navy, black","work, smart casual, evening",all season,general,tailored,smart casual,"structured bag, blouse, shirt, fine knit, polished top",academic_paper,Supporting stylists by recommending fashion style,Tobias Kuhn et al.,2019,https://arxiv.org/abs/1908.09493,high,Industry-authored academic paper describing stylist support and style-fit recommendation using expert practice.,The source discusses style fit as an expert styling concern when selecting items within an outfit.,Best for style-consistent accessory-to-top completion.,Does not prescribe a specific top; combine with category evidence.,verified,Use as academic support for style-fit matching.
R069,legacy_accessory_ontology,,Removed or replaced because the row mixes bags with non-bag accessories or uses the retired accessories label.,false,"For an outfit built around pearl or refined jewellery, recommend classic tops such as a blouse, knit or tailored shirt rather than strongly athletic tops when the user requests polish.",accessories,tops,formality_matching,"classic, elegant, polished","white, black, neutral, metallic","work, evening, smart casual",all season,womenswear,tailored,smart casual,"pearl jewellery, refined jewellery, blouse, tailored shirt, polish",fashion_magazine,The Vogue Guide to Formal Attire,Vogue,2025,https://www.vogue.com/article/the-vogue-guide-to-formal-attire,high,Highly reputable fashion publication with named editorial authority on dress-code guidance.,The source discusses formal attire through polished garments and dress-code logic.,Best for refined accessory-led looks.,May not apply to casual streetwear or intentional contrast styling.,verified,Use when accessory tags imply formal or polished style.
R070,retained_or_rewritten,,Reassessed against its source and either conservatively rewritten into the replacement KB or superseded by a stronger rule.,false,"For a coat or blazer as the query item, recommend a top thin enough to layer cleanly underneath when the user asks for seasonal layering.",outerwear,tops,seasonal_layering,"classic, polished, layered","neutral, tonal","work, smart casual, winter","autumn, winter",general,layering,smart casual,"coat, blazer, thin knit, shirt, layering top",retailer_style_guide,How to Wear Dresses in Winter,Stitch Fix,2021,https://www.stitchfix.com/women/blog/fashion-tips/how-to-wear-dresses-in-winter,medium,"Established styling service with seasonal dressing guidance, but commercial retailer context.","The source discusses cold-weather layering with dresses and coats, supporting layer-compatible clothing choices.",Best for outerwear-to-top layering.,May not apply to oversized outerwear designed for bulky layers.,verified,Use for winter or layering user requests.
